text,chunk_type,section_name,start_pos,end_pos,word_count,grant_id,document_title,year,institute,is_fqhc_focused,fqhc_score,data_source,primary_condition,chunk_id,contains_methods,contains_outcomes,contains_innovation
approaches and thus provide the framework for identifying novel endothelial amplification inflammatory mechanisms that induce lung vascular injury and ALI. We will elucidate how these pathways can be targeted to reduce tissue damage and improve survival.,section,approach,1805.0,2059.0,36,5R01HL152515-04,Amplification Mechanisms of Lung Endothelial Inflammation During Acute Lung Injury,2024,,False,0.0,phase2_nih,,5R01HL152515-04_chunk15,,,
"approach to establish accurate counts of all individuals within census tracts with sociodemographic, behavioral, and neighborhood risk profiles. The strength of RECODE is its innovative",section,approach,2546.0,2732.0,25,5R01MD014839-04,Reducing racial disparities in lung cancer outcomes by decoding neighborhood contextual environment (RECODE),2024,,False,0.0,phase2_nih,,5R01MD014839-04_chunk16,,,
approach to unveil a social epigenetic mechanism of lung cancer disparity. RECODE has the potential to transform understanding multilevel risks of lung cancer and improve the national lung cancer screening guidelines to reflect the social conditions of racial minority communities.,section,approach,2732.0,3013.0,40,5R01MD014839-04,Reducing racial disparities in lung cancer outcomes by decoding neighborhood contextual environment (RECODE),2024,,False,0.0,phase2_nih,,5R01MD014839-04_chunk17,,,
"results are supported by strong in vivo murine data that suggests antiviral efficacy and topical dosage safety of Na-PBA. Due to the high sodium burden associated with Na-PBA administration, its unpalatability, and inability to penetrate sufficiently through corneal epithelium upon topical administration, we have developed various sodium-free PBA nanoformulations to overcome limitations associated with oral and topical delivery of Na-PBA. The purpose of this R24 application is to generate preclinical data in two animal models that support an IND application for repurposing PBA to treat ocular HSV infection. This will be achieved via 3 well thought, exhaustive",section,results,1256.0,1924.0,97,5R24EY033598-03,Alleviation of ER stress as a translational strategy to curb ocular viral infections,2024,,False,0.0,phase2_nih,,5R24EY033598-03_chunk18,,,
"specific aims. In the first aim, we will evaluate dose-dependent pharmacokinetics, and safety of orally and topically delivered Na-PBA solution and various sodium-free PBA nanoformulations. Furthermore, we will also determine oral and topical, and oral antiviral efficacy of Na-PBA and sodium-free PBA nanoformulations in murine models of ocular HSV-1 infection. The second aim will use the most effective oral and topical formulation(s) and test their safety, PK, and efficacy in guinea pig and rabbit models of primary and reactivated ocular HSV-1 infection. Finally aim 3, we will investigate the potential of Na-PBA and sodium-free PBA formulations to synergize with existing antiviral therapies to determine their potential as an add-on modality to the existing treatment. The latter is likely and significant since PBA is a rare drug that works via alleviating ER stress and aiding the host cell’s response to viral infection, and thereby reducing the chance for emergence of viral resistance. We have assembled a multidisciplinary team including scientists, clinicians, drug development and translation experts who can help us navigate through requisite FDA guidelines. PBA has the potential to become a safe and efficacious alternative to existing ocular antivirals very quickly.",section,specific_aims,1924.0,3211.0,191,5R24EY033598-03,Alleviation of ER stress as a translational strategy to curb ocular viral infections,2024,,False,0.0,phase2_nih,,5R24EY033598-03_chunk19,,,
"methods such as chemogenetics and CRISPR technology, we anticipate achieving the following goals: 1) to reveal novel epigenetic marks and changes in gene expression associated with chronic alcohol exposure and withdrawal with whole genome",section,methods,1629.0,1868.0,34,5P50AA022538-10,Epigenetic Mechanisms of Positive  Affective State of AUD,2024,,False,0.0,phase2_nih,,5P50AA022538-10_chunk20,,,
"approaches, 2) to examine whether decreased histone acetylation and increased histone methylation reduce expression of cholesterol synthesis enzymes in the VTA during withdrawal in a cell-type specific manner, and probe the role of cholesterol synthesis enzyme genes in withdrawal-related drinking behavior and GABA hyposensitivity, 3) to determine whether targeted epigenetic intervention counteracts withdrawal-induced phenotypes by using CRISPR to prevent decreases in histone acetylation on promoters of key cholesterol synthesis enzyme genes, and 4) to translate to post-mortem human alcoholic VTA the epigenetic dynamics and expression of genes related to GABA hyposensitivity that have been identified in the rat VTA. Ultimately, these studies are needed to understand epigenetic adaptation of VTA neurons involved in the positive affective state during alcohol withdrawal, and, with the other components of this Center, will provide a great deal of information on epigenetic mechanisms involved in withdrawal-induced brain changes, and possible pharmacological",section,approach,1868.0,2937.0,146,5P50AA022538-10,Epigenetic Mechanisms of Positive  Affective State of AUD,2024,,False,0.0,phase2_nih,,5P50AA022538-10_chunk21,,,
Results from these studies will reveal brain region-selective changes in genes that are likely to contribute to alcohol use disorders. The above studies constitute Aim 1 of the Core. Aim 2 proposes bioinformatics pipelines for the analyses of the genome-wide datasets and the 5hmC array and integrating the large datasets for both preclinical and post- mortem studies. The integration of datasets from multiple non-biased,section,results,1248.0,1670.0,64,5P50AA022538-10,Epigenetics  Core,2024,,False,0.0,phase2_nih,,5P50AA022538-10_chunk22,,,
"approaches is innovative and will provide context for interpreting changes in the gene regulatory landscape in response to withdrawal from alcohol. In Aim 3, we propose to employ a novel dCas9:P300 acetyl transferase fusion protein to alter acetylation levels at specific genomic loci. This will allow us to activate expression of key genes in specific brain regions by altering acetylation selectively at their corresponding promoters. Similarly, we will use a dCas9:Tet1 fusion protein to alter 5mC and 5hmC levels at glucocorticoid receptor (Nr3c1) to modulate mRNA expression. The Epigenetics Core is using state-of-the-art technology to obtain genome-wide information to provide additional resources for each CARE component to address their specific hypotheses. The Core will perform quality control measures at many of the key steps of the protocols described above. In addition, key findings in the genome-wide measures will be validated by Core personnel in consult with Project leaders. The Epigenetics Core is an important platform, not only for individual CARE Projects, but also for University-wide NIH-funded epigenetics investigators.",section,approach,1670.0,2818.0,168,5P50AA022538-10,Epigenetics  Core,2024,,False,0.0,phase2_nih,,5P50AA022538-10_chunk23,,,
"specific aims of the GDAC are to: 1) building on spatial analytics and data-science expertise, prepare and provide innovative nature-based, climate and health-related spatiotemporal datasets and bridge multidisciplinary CECHE investigators including climate science, population-health, exposure science, engineering, urban planning, and health policy; 2) enable state-of-the-art, epidemiological, statistical, and spatio-temporal analytics to advance innovative climate and health research in Chicago and across the nation; 3) support the work of the CEOC and research project investigators, and support the CEOC by providing meaningful and accessible materials on the",section,specific_aims,560.0,1229.0,86,1P20MD019989-01,Geospatial Data Analysis Core,2024,,False,0.0,phase2_nih,,1P20MD019989-01_chunk24,,,
"results emanating from CECHE; and 4) provide capacity building for communities through a Climate Health Institute in collaboration with the COEC and key community-based partners to create and sustain a Climate Health Institute to train citizen scientists, advance data collection and interpretation, and enhance environmental health literacy. By providing novel climate-related exposure and health data resources, developing advanced spatio-temporal data architectures, coordinating spatial analysis, statistical support, and community engagement and capacity building, the GDAC will facilitate interdisciplinary collaborations, respond to community needs, and play a vital role in advancing climate and health equity.",section,results,1229.0,1947.0,93,1P20MD019989-01,Geospatial Data Analysis Core,2024,,False,0.0,phase2_nih,,1P20MD019989-01_chunk25,,,
"Abstract Rising rates of maternal mortality and severe maternal morbidity among those who face persistent disparities, not only demand new",section,abstract,14.0,153.0,20,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk26,,,
"approaches to transdisciplinary research, but these inequities mandate the training of a new research, clinical, and public health workforce who can address these challenges. This workforce must have a knowledge base that is steeped in the structural, environmental, behavioral, and biological factors that affect women’s maternal health, including pregnancy-related/associated mortality and severe maternal morbidity. In addition, the maternal health workforce must include those who represent communities typically underrepresented in the research, clinical care delivery, and public health. Commitment to the rigorous training and exposure of this workforce to a wide variety of diverse and transdisciplinary concepts,",section,approach,153.0,875.0,96,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk27,,,
"approaches to etiologic and intervention research is paramount. As such, the University of Illinois at Chicago (UIC) Maternal Health Research Center of Excellence proposes the development of a Training Program to build the research capacity of early stage investigators (ESIs), junior faculty, post-doctoral fellows, research assistants (RAs), as well as clinical partners from community agencies who together will have a diverse set of skills and experiences to enable them to bring fresh insights, ask novel questions, and discover innovative",section,approach,888.0,1433.0,79,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk28,,,
Specific Aims 1. To increase the diversity of the maternal health research pipeline by recruiting and supporting the academic career development of racially and ethnically diverse postdoctoral and junior faculty fellows from a variety of clinical and public health,section,specific_aims,1499.0,1764.0,39,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk29,,,
"backgrounds. 2. To develop and successfully implement a robust training program for early stage investigators, including junior clinical and public health faculty and post-doctoral fellows, to enable them to address a variety of research questions related to reducing maternal health inequities using innovative quantitative and qualitative",section,background,1764.0,2105.0,46,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk30,,,
research methods and strategies. 3. To provide community-based clinical partners with a robust research training experience that will enable them to successfully undertake or partner with investigators to conduct maternal health research. 4. To provide a strong research and journey mentoring program to early stage investigators to enable them to effectively address maternal health issues including reducing inequities in maternal health outcomes.,section,methods,2105.0,2554.0,62,1U54HD113087-01,Training Core,2024,,False,0.0,phase2_nih,,1U54HD113087-01_chunk31,,,
"result of a trinucleotide substitution in the 5’ untranslated region (UTR) of the inlB transcript that promotes ribosome binding. It is also hypothesized that amino acid variations within InlB enhance InlB binding to the bacterial cell wall and thus increase InlB surface abundance. Aim 1 will determine how InlB levels are altered in 07PF0776 by looking at InlB synthesis, degradation, and cell wall affinity. This aim will also explore how the 5’ UTR contributes to increased protein expression. Aim 2 will determine how increased InlB expression promotes bacterial colonization of the placenta and fetus. Experiments will use pregnant mice as a model and compare strains with varying levels of InlB activity. Fluorescence microscopy combined with immuno-histochemistry will determine if InlB-high-expressing strains have enhanced invasion of specific placental cell types, or alternatively gain access through new portals of entry. RNAScope in situ hybridization and flow cytometry will establish how bacterial localization impacts the nature of the placental immune response. The ultimate goal of the above aims will be to establish the mechanisms by which strains of Lm cause severe fetal and neonatal disease. These studies may eventually allow for improved treatment of severe Lm infection and more effective strategies to protect pregnant women from Lm-induced pregnancy complications.",section,results,1301.0,2694.0,206,5F30AI164843-04,Deciphering molecular mechanisms underlying vertical transmission of Listeria monocytogenes,2024,,False,0.0,phase2_nih,,5F30AI164843-04_chunk32,,,
"For dentin repair or regeneration, it is important to have the timely appearance of blood vessels.

Therefore, tissue-engineering strategies to regenerate the dentin-pulp complex require establishment of vasculature to deliver oxygen, nutrients, hormones, immune cells, minerals and also help in clearing cellular debris and metabolic waste products during the inflammatory and regenerative phases of healing.

DMP1 (dentin matrix protein1) is a key regulatory protein in bone and dentin mineralization.

We first demonstrated that it has a regulatory role in the regulation of hydroxyapatite nucleation and growth in the extracellular matrices of bone and dentin.

Subsequently, we demonstrated that DMP1 was localized in the nucleus of preosteoblasts and preodontoblasts and thus served as a signaling molecule and promoted the differentiation of these precursor cells.

Recently we discovered that DMP1 can stimulate the release of intracellular calcium in preosteoblasts and preodontoblasts.

Depletion of intracellular calcium from the endoplasmic reticulum leads to ER stress.

Cells cope with ER stress by activating the “Unfolded protein response” (UPR).

One of our recent observations is that DMP1 stimulation can promote the secretion of VEGF and other pro-angiogenic factors.

Therefore, we hypothesize that ER stress activated by DMP1 functions to promote the transformation of adult stem cells such as dental pulp stem cells to endothelial cells and thereby promote vasculogenesis.

In order to determine the mechanism by which DMP1 promotes vasculogenesis, we will examine the UPR signaling pathway.",general,semantic_chunk,,,231,5R01DE031737-03,Role of DMP1 Mediated Paracrine Signaling in Vasculogenesis,2024,,False,0.0,phase2_nih,,5R01DE031737-03_chunk33,False,False,False
"The UPR is initiated by three ER transmembrane proteins, of which our preliminary data show that DMP1 stimulation activated the ATF6 (Activating Transcription Factor 6) arm of the UPR.

Accordingly, here we propose to study the mechanism by which ATF6 mediate transcriptional regulation of VEGF under ER stress.

During dentin repair and regeneration, a major challenge is the maintenance of cell viability which depends on the availability of a functional vascular system.

Accordingly, we will test the in-vivo vasculogenic competence and therapeutic potential of DMP1 in an in vivo pulp regeneration model.

Understanding the complex functions of DMP1 could be valuable to develop therapies for fracture repair in bone or in the tooth to restore lost, damaged or diseased dentin-pulp complex.",results,semantic_chunk,,,121,5R01DE031737-03,Role of DMP1 Mediated Paracrine Signaling in Vasculogenesis,2024,,False,0.0,phase2_nih,,5R01DE031737-03_chunk34,False,False,False
"approach and tested the potential for simultaneous isolation of proteins present within the actively translating polyribosome/mRNA complexes within the endothelium of the heart. State-of-the-art multiplex labelling and quantification of these proteins has permitted the identification of concordant and discordant regulated cell-specific pathways based on actively translating mRNA and protein profiles associated with the endothelial stress. Leveraging this innovative advancement in “functional co- translatomics”, we aim to study the changes in co-translational complexes within endothelial cell angiogenic ligand-receptor and cell-cell interaction signaling networks within the aging heart. In Aim 1 , we will define changes in the co-translational regulation of concordantly regulated angiogenic signaling pathways during neonatal and adult life with aging and gender. In Aim 2 , we will define the post-translational modifications of proteins within discordantly regulated angiogenic signaling pathways which may contribute to the impairment angiogenesis in the heart during aging. Ultimately this knowledge could aid in the development of more effective means for diagnosing and treating the impairment of angiogenesis that occurs with aging and predisposes the heart to cardiovascular disease and injury.",section,approach,894.0,2206.0,176,5R21AG080316-02,Co-translational Regulation in the Vasculature of Organ Systems with Aging,2024,,False,0.0,phase2_nih,,5R21AG080316-02_chunk35,,,
